YYYY MM DD hh mm WS_80mA_mean WS_80mA_min WS_80mA_max WS_80mA_stdev WS_80mB_mean WS_80mB_min WS_80mB_max WS_80mB_stdev WS_60m_mean WS_60m_min WS_60m_max WS_60m_stdev WS_40m_mean WS_40m_min WS_40m_max WS_40m_stdev WS_20m_mean WS_20m_min WS_20m_max WS_20m_stdev WD_78m_mean WD_78m_min WD_78m_max WD_78m_stdev WD_58m_mean WD_58m_min WD_58m_max WD_58m_stdev temp_80m_mean temp_80m_min temp_80m_max temp_80m_stdev temp_40m_mean temp_40m_min temp_40m_max temp_40m_stdev temp_15m_mean temp_15m_min temp_15m_max temp_15m_stdev RH_15m_mean RH_15m_min RH_15m_max RH_15m_stdev P_15m_mean P_15m_min P_15m_max P_15m_stdev Rad_80m_mean Rad_80m_min Rad_80m_max Rad_80m_stdev DENSIDAD_15m_mean DENSIDAD_15m_min DENSIDAD_15m_max DENSIDAD_15m_stdev BATERIA_mean BATERIA_min BATERIA_max BATERIA_stdev 
    Height 80 80 80 80 80 80 80 80 60 60 60 60 40 40 40 40 20 20 20 20 78 78 78 78 58 58 58 58 80 80 80 80 40 40 40 40 15 15 15 15 15 15 15 15 15 15 15 15 80 80 80 80 15 15 15 15 0 0 0 0 
    Units m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s ° ° ° ° ° ° ° ° °C °C °C °C °C °C °C °C °C °C °C °C % % % % hPa hPa hPa hPa W/m2 W/m2 W/m2 W/m2 Kg/m^3 Kg/m^3 Kg/m^3 Kg/m^3 V V V V 
2018 02 01 00 00 1.4752E+01 1.0755E+01 2.0375E+01 1.7582E+00 1.4815E+01 1.0767E+01 2.0700E+01 1.7551E+00 1.4413E+01 1.0134E+01 2.0691E+01 1.7307E+00 1.3672E+01 9.2170E+00 1.7928E+01 1.6607E+00 1.2092E+01 7.3493E+00 1.6672E+01 1.8472E+00 3.3670E+02 NaN NaN 4.9670E+00 3.3860E+02 NaN NaN 5.0580E+00 5.4050E+01 4.3120E+01 6.1450E+01 4.4070E+00 1.9750E+01 1.9560E+01 1.9830E+01 6.4000E-02 1.9710E+01 1.9490E+01 1.9760E+01 6.1000E-02 7.6400E+01 7.6100E+01 7.6710E+01 1.3700E-01 1.0030E+03 NaN NaN 1.3500E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.1800E+00 1.1790E+00 1.1810E+00 0.0000E+00 1.2760E+01 1.2660E+01 1.2780E+01 NaN 
2018 02 01 00 10 1.4863E+01 9.5139E+00 1.9754E+01 2.0722E+00 1.4958E+01 9.2148E+00 2.0700E+01 2.1332E+00 1.4220E+01 1.0134E+01 1.9138E+01 1.9244E+00 1.3498E+01 1.0150E+01 1.7928E+01 1.8163E+00 1.2197E+01 7.3493E+00 1.6672E+01 1.8919E+00 3.4090E+02 NaN NaN 6.1850E+00 3.4280E+02 NaN NaN 6.4960E+00 5.6150E+01 4.1620E+01 8.3700E+01 6.2200E+00 1.9680E+01 1.9490E+01 1.9830E+01 8.4000E-02 1.9660E+01 1.9490E+01 1.9760E+01 8.5000E-02 7.6360E+01 7.6100E+01 7.6650E+01 1.3200E-01 1.0030E+03 NaN NaN 1.6400E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.1800E+00 1.1790E+00 1.1810E+00 0.0000E+00 1.2700E+01 1.2620E+01 1.2760E+01 NaN 
2018 02 01 00 20 1.5261E+01 1.1065E+01 1.9444E+01 1.5186E+00 1.5305E+01 1.1077E+01 1.9148E+01 1.5353E+00 1.4729E+01 1.0445E+01 1.8517E+01 1.5332E+00 1.4070E+01 9.8392E+00 1.8550E+01 1.4896E+00 1.2172E+01 7.0386E+00 1.6051E+01 1.8211E+00 3.4040E+02 NaN NaN 5.7450E+00 3.4230E+02 NaN NaN 5.9850E+00 5.2500E+01 4.1420E+01 6.0160E+01 4.2950E+00 1.9800E+01 1.9690E+01 1.9830E+01 3.4000E-02 1.9760E+01 1.9690E+01 1.9830E+01 3.3000E-02 7.6200E+01 7.6040E+01 7.6370E+01 6.7000E-02 1.0030E+03 NaN NaN 1.3200E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.1790E+00 1.1780E+00 1.1800E+00 0.0000E+00 1.2760E+01 1.2760E+01 1.2770E+01 NaN 
2018 02 01 00 30 1.4926E+01 1.1376E+01 1.8823E+01 1.5497E+00 1.5038E+01 1.1077E+01 1.8838E+01 1.5701E+00 1.4394E+01 1.0134E+01 1.8517E+01 1.4997E+00 1.3628E+01 8.9059E+00 1.7928E+01 1.6725E+00 1.2085E+01 6.1063E+00 1.6983E+01 2.1020E+00 3.4270E+02 NaN NaN 9.3800E+00 3.4520E+02 NaN NaN 8.3100E+00 5.4000E+01 4.1080E+01 7.7330E+01 6.0730E+00 1.9800E+01 1.9760E+01 1.9830E+01 3.4000E-02 1.9780E+01 1.9690E+01 1.9830E+01 3.1000E-02 7.6260E+01 7.5970E+01 7.6650E+01 1.5000E-01 1.0030E+03 NaN NaN 1.9800E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.1790E+00 1.1780E+00 1.1800E+00 0.0000E+00 1.2760E+01 1.2760E+01 1.2770E+01 NaN 
2018 02 01 00 40 1.4330E+01 1.0445E+01 1.9444E+01 1.9369E+00 1.4442E+01 1.0457E+01 1.9458E+01 1.9569E+00 1.3543E+01 8.8923E+00 1.8828E+01 2.0561E+00 1.2770E+01 7.3503E+00 1.8550E+01 2.1989E+00 1.1097E+01 6.4171E+00 1.7294E+01 2.1902E+00 3.4370E+02 NaN NaN 9.5700E+00 3.4560E+02 NaN NaN 9.1800E+00 5.2330E+01 4.1960E+01 5.9550E+01 4.2580E+00 1.9850E+01 1.9760E+01 1.9900E+01 4.3000E-02 1.9830E+01 1.9690E+01 1.9900E+01 5.2000E-02 7.6250E+01 7.5900E+01 7.6710E+01 2.3300E-01 1.0030E+03 NaN NaN 1.9600E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.1790E+00 1.1780E+00 1.1790E+00 0.0000E+00 1.2760E+01 1.2760E+01 1.2760E+01 NaN 
2018 02 01 00 50 1.4497E+01 8.8933E+00 2.0375E+01 2.1287E+00 1.4647E+01 9.2148E+00 1.9769E+01 2.1319E+00 1.3724E+01 7.9608E+00 1.7896E+01 1.9847E+00 1.3031E+01 8.2836E+00 1.7928E+01 1.9986E+00 1.0923E+01 6.1063E+00 1.6361E+01 2.1262E+00 3.4260E+02 NaN NaN 6.3620E+00 3.4440E+02 NaN NaN 1.1210E+01 5.1590E+01 3.8570E+01 6.0840E+01 4.2610E+00 1.9890E+01 1.9830E+01 1.9970E+01 3.7000E-02 1.9850E+01 1.9760E+01 1.9900E+01 3.4000E-02 7.6210E+01 7.6040E+01 7.6370E+01 6.7000E-02 1.0030E+03 NaN NaN 1.9000E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.1790E+00 1.1780E+00 1.1790E+00 0.0000E+00 1.2760E+01 1.2750E+01 1.2760E+01 NaN 
2018 02 01 01 00 1.4802E+01 9.5139E+00 1.9444E+01 1.4584E+00 1.4995E+01 9.8357E+00 1.9458E+01 1.4304E+00 1.4202E+01 9.8237E+00 1.8828E+01 1.6413E+00 1.3417E+01 8.2836E+00 1.9173E+01 1.7652E+00 1.1545E+01 5.7955E+00 1.7604E+01 2.3947E+00 3.4270E+02 NaN NaN 5.7420E+00 3.4440E+02 NaN NaN 6.2130E+00 5.0280E+01 3.9040E+01 5.8260E+01 4.0490E+00 1.9900E+01 1.9830E+01 2.0030E+01 3.5000E-02 1.9880E+01 1.9760E+01 1.9970E+01 3.6000E-02 7.5690E+01 7.5290E+01 7.6310E+01 2.8400E-01 1.0030E+03 NaN NaN 1.9300E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.1790E+00 1.1780E+00 1.1790E+00 0.0000E+00 1.2760E+01 1.2750E+01 1.2760E+01 NaN 
2018 02 01 01 10 1.4336E+01 1.0755E+01 1.8823E+01 1.5621E+00 1.4517E+01 1.1077E+01 1.8527E+01 1.5695E+00 1.3804E+01 1.0755E+01 1.8517E+01 1.4872E+00 1.3050E+01 8.5948E+00 1.8239E+01 1.6420E+00 1.0948E+01 6.4171E+00 1.6051E+01 1.8671E+00 3.4500E+02 NaN NaN 8.9100E+00 3.4700E+02 NaN NaN 8.5600E+00 5.2240E+01 3.8300E+01 6.1580E+01 4.3330E+00 1.9930E+01 1.9830E+01 2.0030E+01 4.0000E-02 1.9890E+01 1.9830E+01 1.9970E+01 2.9000E-02 7.5440E+01 7.5080E+01 7.5630E+01 1.1100E-01 1.0030E+03 NaN NaN 1.5200E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.1790E+00 1.1780E+00 1.1790E+00 0.0000E+00 1.2750E+01 1.2750E+01 1.2760E+01 NaN 
2018 02 01 01 20 1.4286E+01 9.8242E+00 2.1616E+01 2.2497E+00 1.4498E+01 9.2148E+00 2.1631E+01 2.2760E+00 1.3612E+01 8.2713E+00 2.1312E+01 2.0908E+00 1.2683E+01 7.3503E+00 1.9173E+01 2.0427E+00 1.1047E+01 6.1063E+00 1.6051E+01 2.1188E+00 3.4670E+02 NaN NaN 9.5300E+00 3.4840E+02 NaN NaN 1.1480E+01 5.2040E+01 3.8840E+01 6.4030E+01 4.2740E+00 2.0060E+01 1.9970E+01 2.0170E+01 3.6000E-02 2.0020E+01 1.9900E+01 2.0100E+01 4.3000E-02 7.4740E+01 7.4470E+01 7.5290E+01 1.8600E-01 1.0030E+03 NaN NaN 1.8500E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.1780E+00 1.1770E+00 1.1790E+00 0.0000E+00 1.2750E+01 1.2750E+01 1.2750E+01 NaN 
